textid	text	target	condition
11	I'm so drunk, I can't even explain what I feel right now I'm so drunk, I can't even explain what I feel right now I'm so drunk, I can't even explain what I feel right now I'm so drunk, I can't even explain what I feel right now I'm so drunk, I can't even explain what I feel right now 	0	1
12	I forgive you I ain't 'bout that shit, so I forgive you It's too late to switch, so I forgive you It ain't 'bout that bitch, so I forgive you, but I'll forget you I forgive you I ain't 'bout that shit, so I forgive you It's too late to switch, so I forgive you It ain't 'bout that bitch, so I forgive you, but I'll forget you I didn't mean all the shit I said But it's better than what's going on in my head How dare you bring another chick in our bed You’re lucky I’m doing my yoga, or you might be dead I ain’t doin nothing that could take away my zen Gave you another chance and then you fucked it up again Life’s a bunch of tests, and we all just do our best Searching for something outside ourselves to bring us happiness, yes I forgive you I ain't 'bout that shit, so I forgive you It's too late to switch, so I forgive you It ain't 'bout that bitch, so I forgive you, but I'll forget you I forgive you I ain't 'bout that shit, so I forgive you It's too late to switch, so I forgive you It ain't 'bout that bitch, so I forgive you, but I'll forget you   You and I dont know what goes on for us If we leave it to the stars, we’ll both know what’s aligned for us I forgive you I ain't 'bout that shit, so I forgive you It's too late to switch, so I forgive you It ain't 'bout that bitch, so I forgive you, but I'll forget you I forgive you I ain't 'bout that shit, so I forgive you It's too late to switch, so I forgive you It ain't 'bout that bitch, so I forgive you, but I'll forget you Forgive you, but I'll forget you I'll forgive you	0	1
13	They say love grows, but I've only seen it die I'm too young to feel like I'm running out of time I get so scared Thinking I'll never get over you I'll always be making a compromise no matter what I do, ooh And maybe I'll never get over you I've heard no one controls what happens in our lives The universe gets to decide Our future is written up there in the sky And I get so scared Thinking I'll never get over you Everything I've imagined And none of our plans coming true I met someone new, and now I'm scared to go all the way I hear you in my mind, and can't let go of what you used to say I'm freakin', it's repeating when you said there'll never be a day When letting go feels right, but for tonight we're trying anyway   And I get so scared Thinking they'll all be just like you All the ways that you hurt me And all of the shit you put me through But maybe they'll all be just like you Or maybe, they’ll never come close to you So maybe, I'll never get over you Maybe	0	1
14	When we're driving, you're saying "go faster" And when we're singing to the radio, you're saying "make it louder" And you roll another one You wanna get higher And when I need the fire, you're always my lighter When we're rolling, you always put your feet on mine And when I’m running late, you always remind me of the time When I'm feeling low, you lift me to the moon and back Back into your arms I won't let go until I know how much you really love me, baby I see a light And I've heard we never truly see ourselves You gotta leave it up to someone else to know how beautiful you really are, baby We never get to see ourselves sleeping peacefully next to the ones that we love We never see us cry, when someone dies, they see us crying Someone new was born, baby When we're driving, you're saying "go faster" And when we're singing to the radio, you're saying "turn it louder" And you roll another one You wanna get higher And when I need the fire, you're always my lighter   I see a light coming towards me Moving slowly, but coming quickly at the same time I think it represents what's going on in my mind When we're together, everything's so sweet There’s nowhere in the world I’d rather be As long as I got you, and you got me, baby I could leave here I don’t need nothing but you You’re starting out beyond just us two Forever gets complicated, but it don’t have to be that way, baby I see a light coming towards me Moving slowly, but coming quickly at the same time I think it represents what's going on in my mind What's going on in my mind I think it represents what's going on in my mind What's going on in my mind I think it represents what's going on in my mind What's going on in my mind	0	1
15	You don't understand what it is That makes me tick, but you wish you did You always second-guess, wonder if I'll say yes But you just lose out every time If you only knew what I talked about When I'm with my friends, just hangin' out Then you'd have the inside scoop on What to say, what to do That way, when you play the game Baby, you could never lose Don't you wish that you could be a fly on the wall? A creepy little, sneaky little fly on the wall All my precious secrets, yeah, you'd know them all Don't you wish that you could be a fly on the wall? You'd love to know the things I do When I'm with my friends and not with you You always second-guess Wonder if there's other guys I’m flirting with You should know by now   If you were my boyfriend, I'd be true to you If I make a promise, I'm coming through Don't you wish that you could see me Every second of the day? That way you would have no doubt That, baby, I would never stray Don't you wish that you could be a fly on the wall? A creepy little, sneaky little fly on the wall All my precious secrets, yeah, you'd know them all Don't you wish that you could be a fly on the wall? A little communication Well, that'll go a long way You're getting misinformation Too much hearsay, hearsay And what I say is Come a little closer And what I'm gonna say is Don't ya? Don't ya? Don't ya? Don't ya wish you were a— Hey! Don't you wish that you could be a fly on the wall? A creepy little, sneaky little fly on the wall All my precious secrets, yeah, you'd know them all Don't you wish that you could be a fly on the wall?	0	1
16	It's been in the past for a while I get a flash, and I smile Am I crazy? Still miss you, baby It was real, it was right But it burned too hot to survive All that's left is all these ashes Where does love go? I don't know When it's all said and done How could I be losing you forever After all the time we spent together? I have to know why I had to lose you Now, you've just become Like everything I'll never find again At the bottom of the ocean Da-da-do Da-da-do-do Da-da-do-do-do-do-do Da-da-da-do-do-do-do In a dream, you appeared For a while, you were here So I keep sleeping Just to keep you with me I'll draw a map, connect the dots With all the memories that I got What I'm missing, I'll keep reliving   Where does love go? I don't know When it's all said and done How could I be losing you forever After all the time we spent together? I have to know why I had to lose you Now you've just become Like everything I'll never find again At the bottom of the ocean This is it Let go Breathe You don't have to love me for me to, baby, ever understand Just know, I love the time that we both had And I don't ever wanna see you sad; be happy 'Cause I don't wanna hold you If you don't wanna tell me you love me, babe Just know, I'm gonna have to walk away I'll be big enough for both of us to say Be happy Da-da-do Da-da-do-do (Be happy, be happy) Da-da-do-do-do-do-do Da-da-da-do-do-do-do Be happy Mm Be happy	0	1
17	Someday, someday, someday, oh Someday, someday, someday, oh Someday, someday, someday, oh Someday, someday, someday No boy, don't call me feisty I worked too hard for this, oh No boy, no boy can find me easy to resist But you boy, you boy I know somewhere you exist Yeah, I'm gonna find you Someday, someday Someday, someday, someday I ain't gonna find you in London or Rome Ain't gonna find you staying at home Ain't gonna find you on the dance floor Ain't gonna find you there for sure I'm gonna find you if I keep living Someday Someday, someday, someday, someday Hey world, are you listening? (Are you listening?) I got so much to say I know it is a small world, small world But sometimes I can't find my way (My way) And I know, I know it could happen any day Just around the corner (Just around the corner) I'm gonna find you someday Someday, someday, someday, someday   I ain't gonna find you in London or Rome Ain't gonna find you staying at home Ain't gonna find you on the dance floor Ain't gonna find you there for sure I'm gonna find you if I keep living Someday Someday, someday, someday, someday Oh, I'm gonna find you I'm gonna find you Someday, someday, someday, someday I ain't gonna find you in London or Rome Ain't gonna find you staying at home Ain't gonna find you on the dance floor Ain't gonna find you there for sure I'm gonna find you if I keep living Someday Someday, someday, someday, someday I know I'm gonna find you, someday I'm gonna find you Someday	0	1
18	I'm a little drunk, I know it I’ma get high as hell I'm a little bit unholy So what? So is everyone else I'm a little drunk, I know it I’ma get high as hell I'm a little bit unholy So what? So is everyone else Wake up in the middle of a breakdown, yeah, uh Have sex on the table with the takeout (Uh) I'm sick of the faking, the using, the taking The people calling me obscene You hate me, you love me, you just wanna touch me I'm only trying to get some peace So let me do me I'm a little drunk, I know it I'ma get high as hell I'm a little bit unholy So what? So is everyone else (Hey) I'm a little drunk, I know it I’ma get high as hell I’m a little bit unholy So what? So is everyone else   So what? So is everyone else So what? So is everyone else I'm a little drunk, I know it I’ma get high as hell I'm a little bit unholy So what? So is everyone else So what? So is everyone else So what? So is everyone else Yeah	0	1
19	You're in my bed uninvited It's fine 'cause I'm in the mood Hope you don't mind if I spike it We'll drink it, just me and you And you know we're gonna be alright We'll be sleeping on a red-eye flight Keep up with me 'til the end of the night And we're just gettin' started Always last to leave the party Drugs rule everything around me Wake up with new tattoos on my body Drugs rule everything around me Hit the Goose, raise a toast, pop the molly I can go toe-to-toe, like I'm Ali We're all tryna fill the lonely Drugs rule everything around me Drugs rule everything around me Drugs rule everything around me   These planes are all UFOs And this city's in outer space It's better than where we came from I think that we both should stay 'Cause you know we're gonna be alright We'll be fucking on a red-eye flight Keep up with me 'til the end of the night And we're just gettin' started Always last to leave the party Drugs rule everything around me Wake up with new tattoos on my body Drugs rule everything around me Hit the ghost, raise a toast, pop the molly All the girls in my room look like Dolly We're all tryna fill the lonely Drugs rule everything around me (Drugs rule everything around me) Drugs rule everything around me Drugs rule everything around me Drugs rule everything around me Drugs rule everything around me Drugs rule everything around me You could call me a king I got it all in my store, you should crown me Purple Perc, sticky green mollies, sippy lean Got the white that's sure to light the floor like in "Billie Jean" Scarface nights (Nights)  thousand on the pinkie, Broadway ice (Ice) We throw diamonds at weddings and y'all throw rice (Rice) Lollapalooza, Coachella custies, that's my type Party all night	0	1
20	 Bitch, you look like you done already done had yours You better go take your country-ass indoors And put some damn clothes on 'Cause don't nobody need to be seeing all of that The library is officially open This cat is in heat Let me ride that beat My pussy on fire Pussy five-alarm fire This cat is in heat Let me ride that beat My pussy on fire Pussy five-alarm fire Turn up your gratitude, turn down your attitude I love my pussy, that means I got cattitude If you don't feel what I'm saying, I don't fuck with you If you don't feel what I'm saying, I don't fuck with you Turn up your gratitude, turn down your attitude I love my pussy, that means I got cattitude If you don't feel what I'm saying, I don't fuck with you If you don't feel what I'm saying, I don't fuck with you   Ayy, go stupid, go dumb Come and get it 'cause I know you want some Nashville, Tennessee where I'm from Since I was three, I've been banging on the drum Rum-pum-pum-pum, rum-pum-pum-pum-pum-pum Rum-pum-pum-pum, rum-pum-pum-pum-pum-pum Rum-pum-pum-pum, rum-pum-pum-pum-pum-pum Rum-pum-pum-pum, rum-pum-pum-pum-pum Nasty, I'm so nasty, nasty I'm nasty, I'm so motherfucking nasty Ride, shine, clock said pussy time Bust my pussy nut while I'm fingering your butt Do I suck dick? You ain't seen shit Throw a C-note, watch you slide down my throat Yeah, my pussy fine, I pop it 'cause it's mine I don't give a fuck if they call me a slut What I do with a dick, elect me presidick Put tears in his eyes when I milk a brother dry I'm so nasty, I'm nasty (Nasty) I'm nasty, I'm nasty I'ma keep working from dawn to dusk So I can keep buying cars off Elon Musk The matte black spinners, now that's a must But I want the whole pie, so leave the crust I'm the moon, I'm the stars, I'm a Maserati I love you, Nicki, but I listen to Cardi I got a new song on the radio, and it goes five (Four, three, two, one) That's right, it's a number one And I can't take you with me as a carry on I already got my luggage, it's Margiela And for my th birthday, I got Deréon From the house of the queen Queen, queen, that's what you can call me Queen, I'ma have you run to your mommy Queen, I'm the life of the party Don't worry 'bout me, go and get yourself a hobby (Sweet pussy of mine) I'm so nasty (Sweet pussy of mine) Turn up your gratitude, turn down your attitude I love my pussy, that means I got cattitude If you don't feel what I'm saying, I don't fuck with you If you don't feel what I'm saying, I don't fuck with you (Get it, get it) I'm so nasty (Cash money) I'm so nasty (Get it, get it, got it good) Ru, turn up your gratitude, turn down your attitude I love my pussy, that means I got cattitude If you don't feel what I'm saying, I don't fuck with you If you don't feel what I'm saying, I don't fuck with you Back up, you're squashing my charisma Why I gotta be so motherfucking extra? Back up, you're squashing my charisma Why I gotta be so motherfucking extra? (Get it, get it) I'm so nasty (Cash Money) I'm nasty (Get it, get it) I'm so nasty (Cash Money) I'm so motherfucking nasty You're just mad 'cause your hair is flat (I'm so motherfucking nasty) You're just mad 'cause your hair is flat (I'm so motherfucking nasty)	0	1
21	I woke up in Montecito I was thinkin' about my life And the questions made more questions Starin' out into the night Yes, I've worn the golden G-string Put my hand into hellfire I did it all to make you love me and to feel alive Oh, that's just the world that we're livin' in The old boys hold all the cards and they ain't playin' gin You dare to call me crazy, have you looked around this place? I should walk away Oh, I should walk away But I think I'll stay There are layers to this body Primal sex and primal shame They told me I should cover it So I went the other way I was tryin' to own my power Still I'm tryin' to work it out And at least it gives the paper somethin' they can write about   And oh, that's just the world that we're livin' in The old boys hold all the cards and they ain't playin' gin And you dare to call me crazy, have you looked around this place? I should walk away Oh, I should walk away But I think I'll stay So the mad man's in the big chair And his heart's an iron vault He says "If you can't make ends meet, honey, it must be your fault" We all focus on the winners And get blinded by their shine Maybe caring for each other's just too  But oh, that's just the world that we're livin' in The old boys hold all the cards and they ain't playin' gin And you dare to call me crazy, have you looked around this place? I should walk away Oh, I should walk away But I think I'll stay And I think I'll stay, yeah I have too much to lose So I think I'll stay I can't walk away	0	1
22	Yeah, it's been a long night and the mirror's telling me to go home But it's been a long time since I felt this good on my own (Uh) Lotta years went by with my hands tied up in your ropes Forever and ever, no more (No more) The midnight sky is the road I'm takin' Head high up in the clouds (Oh, oh) I was born to run, I don't belong to anyone, oh no I don't need to be loved by you (By you) Fire in my lungs, can't bite the devil on my tongue, oh no I don't need to be loved by you Just like the white winged dove Sings a song, sounds like she's singing Ooh, baby, ooh, said, ooh Just like the whitе winged dove Sings a song, sounds like shе's singing Ooh, baby, ooh, said, ooh Loved by you La, la, la-la, la Midnight   And the days go by like a strand in the wind In the web that is my own, I begin again I sing to my friend, eh (Everything stopped) Nothing else mattered (Nothing else mattered) (No more) The midnight sky is the road I'm takin' Head high up in the clouds (Oh, oh) I was born to run, I don't belong to anyone, oh no I don't need to be loved by you (By you) Fire in my lungs, can't bite the devil on my tongue, oh no I don't need to be loved by you See my lips on her mouth, everybody's talkin' now, baby Ooh, baby, ooh, said, ooh Just like the white winged dove (Just like the white winged dove) Sings a song, sounds like she's singing Ooh, baby, ooh, said, ooh Falling on, on the edge of Seventeen I don't hide blurry eyes like you Like you I was born to run, I don't belong to anyone, oh no I don't need to be loved by you (By you) Fire in my lungs, can't bite the devil on my tongue, you know I don't need to be loved by you Just like the white winged dove (Just like the white winged dove) Sings a song, sounds like she's singing Ooh, baby, ooh, said, ooh Just like the white winged dove (Just like the white winged dove) Sings a song, sounds like she's singing (Made a few mistakes) Ooh, baby, ooh, said, ooh Loved by you, yeah La, la, la-la, la In the midnight You know it's true In the midnight Sky (Loved by you)	0	1
23	Once had a love and it was a gas It soon turned out I had a heart of glass Seemed like the real thing, only to find Much o' mistrust, love's gone behind Once had a love and it was divine I soon found out I was losing my mind It seemed like the real thing but I was so blind Much o' mistrust, love's gone behind In between, what I find is pleasing and I'm feeling fine Love is so confusing, there's no peace of mind If I fear I'm losing you, it's just no good You teasing like you do Once had a love and it was a gas It soon turned out I had a heart of glass Seemed like the real thing, only to find Much o' mistrust, love's gone bеhind Lost inside, adorable illusion and I cannot hide I'm thе one you're using, please don't push me aside We could've made it cruising, yeah   Riding high on love's true bluish light Once I had a love and it was a gas It soon turned out to be a pain in the ass Seemed like the real thing only to find Much o' mistrust, love's gone behind	0	1
24	I got a new dress just to meet you downtown Can you walk me through the park just to show it off? I can pull my hair back in that tight way that you like If you wrap me in your arms and never stop Heart beats so loud that it's drownin’ me out Livin' in an April shower You're pourin’ down, baby, drown me out (Ooh, ooh, ooh) You're just like a river (Ooh, ooh, ooh) You're just like a river (Ooh, ooh, ooh) You go on forever You're just like a river Blowing bubbles in the bath, I can't stop from thinking lately You could be the one, have the honor of my babies Hope they have your eyes and that crooked smile Was a desеrt 'fore I met you, I was in a drought Heart bеats so loud that it's drownin' me out Livin’ in an April shower You’re pourin' down, baby, drown me out (Ooh, ooh, ooh)   You’re just like a river (Ooh, ooh, ooh) You're just like a river (Ooh, ooh, ooh) You go on forever You're just like a river You're never runnin’ dry (Oh) I feel you everywhere Your face is all in my hair (Hair) Covered up in your sweat It turns me on that you care, baby Your love, it flows just like a river You're just like a river (That's what you are) You're just like a river (That's what you are) You're just like a river (That's what you are) You're just like a river You're just like a river (Heart beats so loud that it's drownin' me out) You're just like a river (Livin' in an April shower) You go on forever (You're pourin' down, baby, drown me out) You're just like a river	0	1
